c2,s,BandGap1,BandGap2,BandGap3,BandGap4,BandGap5,BandGap6,BandGap7
9.3,0.02,0.25826,0.51274,0.75958,0.99571,1.2177,1.4236,1.6106
9.45,0.02,0.26109,0.51835,0.76785,1.0065,1.2308,1.4389,1.6277
9.6,0.02,0.26389,0.5239,0.77605,1.0172,1.2438,1.454,1.6447
9.75,0.02,0.26666,0.52939,0.78417,1.0278,1.2567,1.469,1.6616
9.9,0.02,0.26941,0.53484,0.79221,1.0383,1.2695,1.4839,1.6783
10.05,0.02,0.27214,0.54024,0.80019,1.0487,1.2822,1.4986,1.6948
10.2,0.02,0.27484,0.54559,0.80809,1.059,1.2947,1.5132,1.7112
10.35,0.02,0.27751,0.55089,0.81592,1.0693,1.3071,1.5276,1.7275
10.5,0.02,0.28017,0.55615,0.82369,1.0794,1.3195,1.542,1.7436
10.65,0.02,0.2828,0.56137,0.83139,1.0895,1.3317,1.5562,1.7595
10.8,0.02,0.28541,0.56654,0.83902,1.0994,1.3438,1.5703,1.7754
10.95,0.02,0.28799,0.57166,0.84659,1.1093,1.3559,1.5842,1.7911
11.1,0.02,0.29056,0.57675,0.8541,1.1191,1.3678,1.5981,1.8067
11.25,0.02,0.29311,0.5818,0.86156,1.1288,1.3796,1.6119,1.8221
11.4,0.02,0.29563,0.5868,0.86895,1.1385,1.3914,1.6255,1.8374
11.55,0.02,0.29814,0.59177,0.87628,1.1481,1.403,1.639,1.8527
11.7,0.02,0.30063,0.5967,0.88356,1.1576,1.4146,1.6525,1.8678
11.85,0.02,0.3031,0.60159,0.89079,1.167,1.426,1.6658,1.8827
12,0.02,0.30555,0.60645,0.89796,1.1764,1.4374,1.679,1.8976
12.15,0.02,0.30798,0.61127,0.90508,1.1857,1.4487,1.6922,1.9124
12.3,0.02,0.3104,0.61605,0.91215,1.1949,1.46,1.7052,1.927
12.45,0.02,0.31279,0.6208,0.91916,1.204,1.4711,1.7182,1.9416
12.6,0.02,0.31517,0.62552,0.92613,1.2131,1.4822,1.731,1.9561
12.75,0.02,0.31754,0.63021,0.93305,1.2222,1.4932,1.7438,1.9704
